master_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),1,0,0,0,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,0,0,1,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,0,0,1,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,0,0,1,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,0,0,1,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),1,0,0,0,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,1,0,0,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,1,0,0,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,0,0,1,0
C(C)C(=O)O.CCC(C)C.CC(C(C)C).CC(C)(CC),0,0,0,1,0
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,1,0,0,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),0,0,0,1,1
CC(c1ccccc1).C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),0,1,0,0,1
CC(c1ccccc1).CC(c1ncccc1),0,0,0,1,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),1,0,0,0,1
CC(c1ccccc1).CC(c1ncccc1),0,1,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),1,0,0,0,1
C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C).CC(c1ccccc1),0,0,0,1,1
